name,element,GW,assists,bonus,goals_scored,minutes,own_goals,saves,selected,transfers_balance,yellow_cards,value,total_points
Jóhann Berg Gudmundsson,170,9,1,0,0,251,0,0,0.0,-2799,1,4.8,9
Scott Twine,180,9,0,0,0,0,0,0,0.0,-2472,0,4.9,0
Anass Zaroury,184,9,0,0,0,126,0,0,0.0,-9696,0,4.8,2
Sander Berge,475,9,1,2,0,607,0,0,0.1,-5610,2,4.8,19
Nathan Redmond,600,9,0,0,0,76,0,0,0.0,-3585,0,4.8,5
Luca Koleosho,605,9,1,0,0,626,0,0,0.1,9469,0,5.0,21
Jacob Bruun Larsen,608,9,0,0,1,171,0,0,0.0,-390,0,4.9,14
Wilson Odobert,660,9,0,0,1,146,0,0,0.0,235,1,5.0,8
Aaron Ramsey,675,9,0,0,0,208,0,0,0.0,2954,0,5.0,7
Han-Noah Massengo,694,9,0,0,0,0,0,0,0.0,34,0,5.0,0
Mike Trésor,706,9,0,0,0,218,0,0,0.0,1051,0,5.5,8
Moisés Caicedo Corozo,126,9,0,0,0,623,0,0,1.5,-173625,2,4.7,15
Carney Chukwuemeka,196,9,0,0,1,125,0,0,1.7,-109286,2,4.3,6
Enzo Fernández,199,9,0,0,0,777,0,0,3.0,-137378,3,4.8,17
Conor Gallagher,202,9,2,1,0,855,0,0,0.4,-8323,1,5.4,29
Noni Madueke,208,9,0,0,0,116,0,0,0.1,-5188,0,5.3,6
Mykhailo Mudryk,210,9,1,3,2,306,0,0,1.2,-164771,1,6.3,29
Christian Pulisic,213,9,0,0,0,0,0,0,0.0,-386,0,5.5,0
Raheem Sterling,216,9,3,6,3,810,0,0,8.0,473730,2,7.0,49
Hakim Ziyech,218,9,0,0,0,0,0,0,0.1,-15006,0,5.4,0
Cole Palmer,362,9,2,2,2,422,0,0,4.0,377881,2,5.0,29
Ângelo Gabriel Borges Damaceno,589,9,0,0,0,0,0,0,0.0,-977,0,5.0,0
Ian Maatsen,609,9,0,0,0,107,0,0,0.1,-6823,1,5.2,6
Lesley Ugochukwu,613,9,0,0,0,141,0,0,0.3,12206,0,4.4,8
Roméo Lavia,667,9,0,0,0,0,0,0,0.0,-202,0,4.9,0
Diego Manuel Jadon da Silva Moreira,681,9,0,0,0,0,0,0,0.0,-25,0,4.5,0
Alex Matos,718,9,0,0,0,1,0,0,0.0,333,0,4.5,1
Naouirou Ahamada,219,9,0,0,0,56,0,0,0.7,43258,0,4.3,4
Jordan Ayew,221,9,2,0,1,834,0,0,0.4,-3156,3,5.4,31
Cheick Doucouré,223,9,0,0,0,810,0,0,0.1,-118,2,5.0,19
Malcolm Ebiowei,224,9,0,0,0,0,0,0,0.0,-3179,0,4.5,0
Eberechi Eze,226,9,1,1,1,627,0,0,3.2,-1215184,1,6.1,25
Will Hughes,229,9,0,0,0,499,0,0,0.0,-2,2,4.9,14
Jefferson Lerma Solís,231,9,0,0,0,524,0,0,0.1,-25637,0,4.7,13
Michael Olise,236,9,0,0,0,0,0,0,0.1,-9643,0,5.8,0
Jairo Riedewald,239,9,0,0,0,86,0,0,0.1,610,0,4.4,4
Jeffrey Schlupp,240,9,0,0,0,623,0,0,0.1,-7419,0,4.9,19
Matheus França de Oliveira,615,9,0,0,0,31,0,0,0.0,-287,0,4.9,2
Jesurun Rak-Sakyi,657,9,0,0,0,132,0,0,0.0,2288,0,4.5,8
David Ozoh,721,9,0,0,0,3,0,0,0.0,198,0,4.5,1
Jadan Raymond,724,9,0,0,0,0,0,0,0.0,134,0,4.5,0
André Tavares Gomes,244,9,0,0,0,0,0,0,0.1,-15040,0,4.4,0
Dele Alli,248,9,0,0,0,0,0,0,0.0,-2706,0,4.8,0
Abdoulaye Doucouré,249,9,1,2,3,858,0,0,0.7,41261,1,5.5,40
James Garner,250,9,1,2,1,796,0,0,0.1,6937,1,4.9,30
Jean-Philippe Gbamin,251,9,0,0,0,0,0,0,0.0,-1902,0,4.4,0
Demarai Gray,253,9,0,0,0,0,0,0,0.1,-27908,0,5.3,0
Idrissa Gueye,254,9,0,0,0,540,0,0,0.0,-2187,1,4.8,11
Dwight McNeil,259,9,1,0,0,500,0,0,0.1,-3367,0,5.4,17
Amadou Onana,261,9,0,0,0,875,0,0,0.2,-8425,0,4.8,22
Arnaut Danjuma Groeneveld,601,9,0,0,1,369,0,0,0.2,-4098,0,5.4,16
Lewis Dobbin,624,9,0,0,0,117,0,0,0.1,2383,0,4.5,5
Tyler Onyango,650,9,0,0,0,1,0,0,0.0,243,0,4.5,1
Jack Harrison,661,9,2,3,1,257,0,0,0.1,3885,0,5.5,22
Mackenzie Hunt,719,9,0,0,0,0,0,0,0.0,220,0,4.5,0
Alex Iwobi,256,9,0,0,0,432,0,0,0.3,-56668,0,5.4,11
Andreas Hoelgebaum Pereira,267,9,2,0,1,626,0,0,0.9,-21225,2,5.4,29
Tom Cairney,268,9,1,0,0,164,0,0,0.0,-475,0,4.9,11
Ivan Neves Abreu Cavaleiro,269,9,0,0,0,0,0,0,0.0,-971,0,5.0,0
Bobby De Cordova-Reid,270,9,1,2,2,554,0,0,0.1,-2330,1,5.5,30
Tyrese Francois,272,9,0,0,0,0,0,0,0.0,-794,0,4.4,0
Anthony Knockaert,273,9,0,0,0,0,0,0,0.0,-6127,0,4.4,0
Saša Lukić,276,9,0,0,0,337,0,0,0.3,-12503,1,4.4,10
João Palhinha Gonçalves,280,9,0,6,2,644,0,0,0.3,10620,3,5.0,30
Harrison Reed,282,9,1,0,0,567,0,0,0.5,-43447,1,4.8,21
Harry Wilson,288,9,1,0,0,546,0,0,0.1,-8298,1,5.3,19
Willian Borges da Silva,591,9,1,3,1,619,0,0,0.4,-24677,1,5.3,27
Matthew Dibley-Dias,652,9,0,0,0,0,0,0,0.0,188,0,4.5,0
Adama Traoré,662,9,0,0,0,32,0,0,0.0,-137,0,4.9,3
Luke Harris,683,9,0,0,0,74,0,0,0.0,1528,0,4.5,2
Stefan Bajcetic,292,9,0,0,0,0,0,0,0.0,-3514,0,4.7,0
Diogo Teixeira da Silva,294,9,2,2,3,431,0,0,1.4,-175784,1,7.7,32
Harvey Elliott,295,9,1,0,0,223,0,0,0.2,-7966,1,4.8,10
Fabio Henrique Tavares,296,9,0,0,0,0,0,0,0.0,-1070,0,5.0,0
Jordan Henderson,299,9,0,0,0,0,0,0,0.0,-770,0,5.0,0
Curtis Jones,300,9,0,0,0,278,0,0,0.0,-9007,1,4.9,5
Luis Díaz,303,9,1,1,2,624,0,0,8.7,140890,0,7.5,32
Alexis Mac Allister,304,9,1,1,0,790,0,0,3.8,-740696,4,5.8,18
Mohamed Salah,308,9,4,11,8,864,0,0,42.5,1445620,1,12.8,83
Dominik Szoboszlai,309,9,4,5,1,900,0,0,5.4,96419,1,7.0,44
Thiago Alcántara do Nascimento,310,9,0,0,0,0,0,0,0.1,-16743,0,4.8,0
Bobby Clark,627,9,0,0,0,0,0,0,0.0,-383,0,4.5,0
Ben Doak,628,9,0,0,0,13,0,0,0.0,-1425,0,4.4,1
James McConnell,629,9,0,0,0,0,0,0,0.0,-415,0,4.5,0
Wataru Endo,668,9,0,0,0,116,0,0,0.1,992,0,5.4,6
Ryan Gravenberch,708,9,0,0,0,188,0,0,0.1,11471,0,5.0,8
Albert Sambi Lokonga,21,9,0,0,0,130,0,0,0.0,-1007,0,4.9,3
Marvelous Nakamba,52,9,0,0,0,885,0,0,1.4,10647,3,4.4,17
Luke Berry,317,9,0,0,0,26,0,0,0.0,-4282,0,4.7,2
Allan Campbell,319,9,0,0,0,0,0,0,0.0,-3469,0,4.9,0
Jordan Clark,320,9,0,0,0,0,0,0,0.0,-905,0,4.8,0
Luke Freeman,322,9,0,0,0,0,0,0,0.0,-1778,0,4.9,0
Carlos Mendes Gomes,325,9,0,0,0,0,0,0,0.0,-1351,0,4.5,0
Fred Onyedinma,329,9,0,0,0,0,0,0,0.0,-193,0,5.0,0
Dion Pereira,332,9,0,0,0,0,0,0,0.1,-14042,0,4.4,0
Glen Rea,334,9,0,0,0,0,0,0,0.0,-3797,0,4.4,0
Elliot Thorpe,337,9,0,0,0,0,0,0,0.0,-529,0,4.5,0
Louie Watson,339,9,0,0,0,0,0,0,0.2,-21300,0,4.4,0
Pelly Ruddock Mpanzu,582,9,0,0,0,498,0,0,0.0,-2706,0,4.8,15
Tahith Chong,586,9,0,0,0,467,0,0,0.1,-5487,2,4.9,11
Ross Barkley,630,9,0,0,0,263,0,0,0.1,-12310,0,4.9,8
Andros Townsend,727,9,1,0,0,51,0,0,0.0,404,0,5.0,5
Jayden Luker,729,9,0,0,0,0,0,0,0.0,119,0,4.5,0
Bernardo Veiga de Carvalho e Silva,344,9,2,4,1,554,0,0,1.3,-337130,2,6.3,28
Oscar Bobb,345,9,1,0,0,47,0,0,0.1,1470,0,4.4,6
Shea Charles,348,9,0,0,0,0,0,0,0.0,-36,0,4.5,0
Kevin De Bruyne,349,9,0,0,0,22,0,0,1.6,-1271077,0,10.2,1
Phil Foden,353,9,3,6,2,785,0,0,9.5,17180,1,7.5,47
Jack Grealish,354,9,1,2,0,294,0,0,1.7,-391125,2,7.3,14
Mateo Kovačić,356,9,0,0,0,459,0,0,0.5,-65734,2,4.9,14
Riyad Mahrez,359,9,0,0,0,0,0,0,0.0,-5387,0,7.5,0
Máximo Perrone,363,9,0,0,0,0,0,0,0.0,-1811,0,4.4,0
Kalvin Phillips,364,9,0,0,0,70,0,0,0.0,-1997,0,4.8,3
Rodrigo Hernandez,365,9,2,5,2,660,0,0,5.7,-3181,3,5.6,33
Matheus Luiz Nunes,566,9,1,0,0,360,0,0,0.1,-9734,0,5.0,10
Jérémy Doku,678,9,1,3,1,404,0,0,1.4,125453,1,6.5,21
Mason Mount,209,9,0,0,0,336,0,0,1.0,-243537,1,6.8,10
Amad Diallo,371,9,0,0,0,0,0,0,0.0,-2558,0,4.4,0
Antony Matheus dos Santos,372,9,0,0,0,402,0,0,0.6,-82097,2,6.8,11
Bruno Borges Fernandes,373,9,2,7,2,900,0,0,13.9,-1191691,4,8.3,41
Carlos Henrique Casimiro,376,9,0,0,1,648,0,0,2.9,-218589,1,5.4,21
Christian Eriksen,379,9,1,4,1,486,0,0,0.5,-16559,0,5.9,25
Frederico Rodrigues de Paula Santos,381,9,0,0,0,0,0,0,0.0,-10238,0,5.0,0
Alejandro Garnacho,382,9,0,0,0,242,0,0,1.2,-136753,0,4.7,11
Hannibal Mejbri,383,9,0,0,1,116,0,0,0.3,19101,1,4.4,8
Kobbie Mainoo,388,9,0,0,0,0,0,0,0.0,-868,0,4.4,0
Scott McTominay,392,9,0,3,3,336,0,0,0.7,53661,0,4.8,30
Facundo Pellistri Rebollo,394,9,0,0,0,83,0,0,0.2,8636,0,4.4,5
Marcus Rashford,396,9,2,0,1,841,0,0,15.4,-3039688,1,8.7,32
Jadon Sancho,397,9,0,0,0,76,0,0,0.4,-59455,0,6.7,3
Donny van de Beek,400,9,0,0,0,2,0,0,0.0,-2662,0,4.8,1
Omari Forson,632,9,0,0,0,0,0,0,0.0,-328,0,4.4,0
Daniel Gore,685,9,0,0,0,0,0,0,0.0,150,0,4.5,0
Sofyan Amrabat,709,9,0,0,0,312,0,0,0.2,13614,2,5.0,6
Miguel Almirón Rejala,402,9,0,2,2,655,0,0,6.0,-159399,1,6.3,30
Elliot Anderson,403,9,1,0,0,407,0,0,3.6,-189388,0,4.4,19
Bruno Guimarães Rodriguez Moura,406,9,1,2,1,862,0,0,2.6,-81909,4,5.8,30
Ryan Fraser,410,9,0,0,0,0,0,0,0.0,-3697,0,4.9,0
Anthony Gordon,412,9,4,3,3,700,0,0,7.9,716315,5,5.7,47
Isaac Hayden,413,9,0,0,0,0,0,0,0.0,-3445,0,4.4,0
Jeff Hendrick,414,9,0,0,0,0,0,0,0.0,-3818,0,4.4,0
Joelinton Cássio Apolinário de Lira,416,9,0,0,0,458,0,0,0.4,-74705,1,5.8,11
Garang Kuol,418,9,0,0,0,0,0,0,0.0,-600,0,4.5,0
Sean Longstaff,421,9,2,0,2,628,0,0,1.0,77004,3,4.9,33
Jacob Murphy,423,9,3,3,1,103,0,0,0.3,3487,0,4.8,23
Matt Ritchie,425,9,0,0,0,0,0,0,0.2,-4300,0,4.4,0
Allan Saint-Maximin,426,9,0,0,0,0,0,0,0.0,-5207,0,6.0,0
Sandro Tonali,429,9,0,0,1,437,0,0,1.7,-99972,2,5.3,16
Joe Willock,432,9,0,0,0,18,0,0,0.1,-16107,0,5.3,1
Harvey Barnes,603,9,1,2,1,183,0,0,1.2,-233560,1,6.2,17
Lewis Miley,635,9,0,0,0,0,0,0,0.0,-808,0,4.5,0
Andrey Nascimento dos Santos,186,9,0,0,0,7,0,0,0.1,-6351,0,4.4,1
Callum Hudson-Odoi,205,9,0,3,1,228,0,0,0.2,9090,0,4.9,15
Anthony Elanga,378,9,3,2,1,470,0,0,0.8,5105,0,5.0,30
Brandon Aguilera Zamora,434,9,0,0,0,0,0,0,0.0,-1040,0,4.5,0
Harry Arter,435,9,0,0,0,0,0,0,0.1,-2737,0,4.4,0
Josh Bowler,440,9,0,0,0,0,0,0,0.0,-319,0,4.5,0
Danilo dos Santos de Oliveira,442,9,0,0,0,285,0,0,0.1,-8603,0,5.3,7
Remo Freuler,446,9,0,0,0,0,0,0,0.0,-1726,0,4.9,0
Morgan Gibbs-White,447,9,2,1,0,831,0,0,1.3,-105805,3,5.8,25
Cheikhou Kouyaté,451,9,0,0,0,71,0,0,0.0,-1139,1,4.8,6
Orel Mangala,453,9,0,0,0,732,0,0,0.0,-963,4,5.0,16
Alex Mighten,456,9,0,0,0,0,0,0,0.0,-2108,0,4.4,0
Lewis O'Brien,458,9,0,0,0,0,0,0,0.0,-1058,0,4.9,0
Braian Ojeda Rodríguez,459,9,0,0,0,0,0,0,0.0,-349,0,4.5,0
Gustavo Henrique Furtado Scarpa,462,9,0,0,0,0,0,0,0.0,-4671,0,4.5,0
Jonjo Shelvey,463,9,0,0,0,0,0,0,0.0,-2335,0,4.8,0
Ryan Yates,470,9,0,0,0,357,0,0,0.0,-1820,2,4.9,10
Nicolás Domínguez,712,9,0,3,1,404,0,0,0.0,3253,1,5.0,19
Ibrahim Sangaré,713,9,0,0,0,463,0,0,0.0,632,4,5.0,9
James McAtee,360,9,1,0,0,384,0,0,0.4,31578,1,4.4,15
Ismaila Coulibaly,478,9,0,0,0,0,0,0,0.0,-719,0,4.4,0
John Fleck,481,9,0,0,0,19,0,0,0.0,-619,0,4.9,1
Oliver Norwood,488,9,0,0,0,700,0,0,0.0,-1282,3,4.8,14
Ben Osborn,489,9,0,0,0,235,0,0,0.0,-1899,2,4.8,5
Anis Slimane,587,9,0,0,0,103,0,0,0.0,-4165,2,4.7,2
Vini de Souza Costa,638,9,0,1,0,787,0,0,0.0,-76,2,5.0,17
Andre Brooks,655,9,0,0,0,19,0,0,0.0,939,0,4.5,2
Gustavo Hamer,663,9,0,2,2,723,0,0,0.3,19845,1,5.0,30
Tom Davies,666,9,0,0,0,57,0,0,0.0,-97,1,5.0,2
Ryan Oné,730,9,0,0,0,7,0,0,0.0,82,0,4.5,1
Brennan Johnson,450,9,1,0,0,345,0,0,0.3,-38452,1,5.8,13
Rodrigo Bentancur,492,9,0,0,0,1,0,0,0.0,-225,0,5.4,1
Yves Bissouma,493,9,0,0,0,723,0,0,0.5,3536,4,5.0,13
Bryan Gil Salvatierra,494,9,0,0,0,1,0,0,0.0,-148,0,4.9,1
Pierre-Emile Højbjerg,499,9,0,0,0,241,0,0,0.3,-31976,3,5.2,8
Dejan Kulusevski,501,9,0,3,2,891,0,0,1.9,25846,1,7.0,37
Giovani Lo Celso,503,9,0,0,0,24,0,0,0.0,-9394,0,4.8,2
James Maddison,504,9,6,6,3,837,0,0,39.5,2628074,2,8.1,62
Tanguy Ndombélé Alvaro,505,9,0,0,0,0,0,0,0.2,-32970,0,4.4,0
Richarlison de Andrade,509,9,3,0,1,535,0,0,1.7,-233618,2,6.7,30
Pape Matar Sarr,513,9,1,2,1,707,0,0,3.3,206271,2,4.6,29
Oliver Skipp,515,9,0,0,0,144,0,0,0.1,-14261,1,4.6,6
Son Heung-min,516,9,1,11,8,796,0,0,37.6,3060562,0,9.6,78
Manor Solomon,583,9,2,2,0,196,0,0,0.1,-7383,1,5.2,14
Saïd Benrahma,525,9,1,0,0,367,0,0,0.5,-48230,1,5.7,14
Jarrod Bowen,526,9,1,7,6,900,0,0,21.0,1565523,1,7.4,60
Maxwel Cornet,527,9,0,0,0,1,0,0,0.1,-3882,0,5.3,1
Conor Coventry,529,9,0,0,0,0,0,0,0.1,-1925,0,4.4,0
Flynn Downes,531,9,0,0,0,0,0,0,0.0,-1780,0,5.0,0
Pablo Fornals Malla,534,9,0,0,0,142,0,0,0.1,-5177,0,4.7,8
Lucas Tolentino Coelho de Lima,539,9,1,1,1,885,0,0,1.7,-12531,5,6.0,26
Tomáš Souček,542,9,1,3,2,625,0,0,1.4,21405,1,4.9,32
Nikola Vlašić,543,9,0,0,0,0,0,0,0.1,-12618,0,4.5,0
Edson Álvarez Velázquez,642,9,1,0,0,680,0,0,0.2,246,5,5.0,16
James Ward-Prowse,664,9,3,4,2,782,0,0,11.3,1026232,1,6.2,41
Mohammed Kudus,689,9,0,1,1,185,0,0,0.4,25820,1,6.5,13
Tommy Doyle,351,9,0,0,0,95,0,0,0.0,1215,0,4.4,4
Francisco Jorge Tomás Oliveira,549,9,0,0,0,0,0,0,0.0,-681,0,4.5,0
Luke Cundle,550,9,0,0,0,0,0,0,0.0,-1731,0,4.5,0
Gonçalo Manuel Ganchinho Guedes,554,9,0,0,0,0,0,0,0.0,-6405,0,5.4,0
Joe Hodge,555,9,0,0,0,0,0,0,0.1,-3799,0,4.4,0
Hwang Hee-chan,557,9,1,5,6,591,0,0,2.0,178424,3,5.4,49
João Victor Gomes da Silva,559,9,1,0,0,673,0,0,0.1,-1273,3,4.9,18
Bruno Cavaco Jordão,561,9,0,0,0,0,0,0,0.2,-6116,0,4.4,0
Mario Lemina,565,9,0,2,1,792,0,0,0.0,-1154,4,4.9,19
Pedro Lomba Neto,567,9,8,5,1,886,0,0,9.3,881168,3,5.8,52
Daniel Castelo Podence,568,9,0,0,0,0,0,0,0.0,-10274,0,5.3,0
Pablo Sarabia,570,9,1,0,0,187,0,0,0.1,-5187,1,4.8,9
Boubacar Traoré,574,9,0,0,0,234,0,0,0.5,-11782,1,4.4,7
Enso González,698,9,0,0,0,0,0,0,0.0,159,0,5.0,0
Jean-Ricner Bellegarde,715,9,0,0,0,114,0,0,0.0,352,0,5.0,0
